city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Guipos,Baguitan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Balongating,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Balongating,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Balongating,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Canunan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Canunan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Canunan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Dacsol,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Dacsol,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Dacsol,malnourished children 0-5 year old,1,2.3,2,2,0,3.4,6.5,0
Guipos,Dagohoy,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Dagohoy,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Dagohoy,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Dalapang,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Dalapang,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Dalapang,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Datagan,children 0-5 year old who died,1,1.5,1,0,1,0.8,0,1.7
Guipos,Datagan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Datagan,malnourished children 0-5 year old,1,1.5,1,1,0,0.9,1.7,0
Guipos,Poblacion (Guipos),children 0-5 year old who died,1,0.4,1,0,1,0.2,0,0.5
Guipos,Poblacion (Guipos),women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Poblacion (Guipos),malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Guling,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Guling,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Guling,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Katipunan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Katipunan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Katipunan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Lintum,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Lintum,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Lintum,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Litan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Litan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Litan,malnourished children 0-5 year old,1,2.2,1,1,0,1.5,3.3,0
Guipos,Magting,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Magting,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Magting,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Bogo Calabat,children 0-5 year old who died,2,2.8,2,2,0,1.8,3.4,0
Josefina,Bogo Calabat,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Bogo Calabat,malnourished children 0-5 year old,10,14.1,12,4,8,10.8,7,14.8
Josefina,Dawa (Diwa),children 0-5 year old who died,3,4.2,3,3,0,3.1,6,0
Josefina,Dawa (Diwa),women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Dawa (Diwa),malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Ebarle,children 0-5 year old who died,1,3.3,1,1,0,2.2,3.8,0
Josefina,Ebarle,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Ebarle,malnourished children 0-5 year old,1,3.4,1,1,0,2.3,4,0
Josefina,Upper Bagong Tudela Poblacion,children 0-5 year old who died,3,2.5,3,2,1,1.6,2.1,1.1
Josefina,Upper Bagong Tudela Poblacion,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Upper Bagong Tudela Poblacion,malnourished children 0-5 year old,18,14.9,22,12,10,12,12.6,11.4
Josefina,Leonardo,children 0-5 year old who died,2,3.9,2,1,1,2.8,2.7,2.9
Josefina,Leonardo,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Leonardo,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Litapan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Litapan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Litapan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Lower Bagong Tudela,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Lower Bagong Tudela,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Lower Bagong Tudela,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Mansanas,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Mansanas,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Mansanas,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Moradji,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Moradji,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Moradji,malnourished children 0-5 year old,6,18.2,9,4,5,17.3,16.7,17.9
Josefina,Nemeno,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Nemeno,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Nemeno,malnourished children 0-5 year old,1,3.4,1,0,1,2.4,0,3.3
Josefina,Nopulan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Nopulan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Nopulan,malnourished children 0-5 year old,13,19.4,16,8,8,16.5,15.4,17.8
Josefina,Sebukang,children 0-5 year old who died,1,4.3,1,1,0,2.8,4.3,0
Josefina,Sebukang,women who died due to pregnancy related-causes,1,100,1,0,0,100,0,0
Josefina,Sebukang,malnourished children 0-5 year old,1,4.3,1,1,0,2.9,4.5,0
Josefina,Tagaytay Hill,children 0-5 year old who died,0,0,0,0,0,0,0,0
Josefina,Tagaytay Hill,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Tagaytay Hill,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Josefina,Gumahan Poblacion,children 0-5 year old who died,1,0.9,1,1,0,0.6,1.2,0
Josefina,Gumahan Poblacion,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Josefina,Gumahan Poblacion,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Bogayo,children 0-5 year old who died,2,1.8,3,3,0,1.8,3.6,0
Kumalarang,Bogayo,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Bogayo,malnourished children 0-5 year old,1,0.9,1,0,1,0.6,0,1.2
Kumalarang,Bolisong,children 0-5 year old who died,1,1.6,1,0,1,1,0,2.3
Kumalarang,Bolisong,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Bolisong,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Bualan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Bualan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Bualan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Boyugan East,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Boyugan East,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Boyugan East,malnourished children 0-5 year old,1,1.2,1,1,0,0.7,1.3,0
Kumalarang,Boyugan West,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Boyugan West,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Boyugan West,malnourished children 0-5 year old,1,1,1,0,1,0.6,0,1.1
Kumalarang,Diplo,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Diplo,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Diplo,malnourished children 0-5 year old,1,0.5,1,0,1,0.3,0,0.7
Kumalarang,Gawil,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Gawil,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Gawil,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Gusom,children 0-5 year old who died,1,1.7,1,0,1,0.9,0,1.8
Kumalarang,Gusom,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Gusom,malnourished children 0-5 year old,1,1.7,1,1,0,0.9,1.8,0
Kumalarang,Kitaan Dagat,children 0-5 year old who died,1,1.2,1,1,0,0.7,1.3,0
Kumalarang,Kitaan Dagat,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Kitaan Dagat,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Limamawan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Limamawan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Limamawan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Mahayahay,children 0-5 year old who died,2,4.5,3,1,2,4.1,3.6,4.3
Kumalarang,Mahayahay,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Mahayahay,malnourished children 0-5 year old,33,75,54,23,31,76.1,85.2,70.5
Kumalarang,Pangi,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Pangi,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Pangi,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Kumalarang,Poblacion,children 0-5 year old who died,2,0.5,2,1,1,0.3,0.3,0.3
Kumalarang,Poblacion,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Poblacion,malnourished children 0-5 year old,6,1.4,8,6,2,1.2,1.8,0.6
Kumalarang,Picanan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Kumalarang,Picanan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Kumalarang,Picanan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Labangan,Bagalupa,children 0-5 year old who died,5,6.1,6,0,6,5.3,0,10.3
Labangan,Bagalupa,women who died due to pregnancy related-causes,1,5.9,1,0,0,5.9,0,0
Labangan,Bagalupa,malnourished children 0-5 year old,1,1.3,1,0,1,0.9,0,1.9
Labangan,Balimbingan (West Luya),children 0-5 year old who died,0,0,0,0,0,0,0,0
Labangan,Balimbingan (West Luya),women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Balimbingan (West Luya),malnourished children 0-5 year old,2,1.9,2,1,1,1.4,1.4,1.4
Labangan,Binayan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Labangan,Binayan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Binayan,malnourished children 0-5 year old,6,6.5,8,4,4,5.6,5.7,5.6
Labangan,Bokong,children 0-5 year old who died,1,0.6,1,1,0,0.5,0.9,0
Labangan,Bokong,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Bokong,malnourished children 0-5 year old,1,0.6,1,1,0,0.5,0.9,0
Labangan,Bulanit,children 0-5 year old who died,5,2.8,7,2,5,2.4,1.4,3.3
Labangan,Bulanit,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Bulanit,malnourished children 0-5 year old,2,1.1,2,0,2,0.7,0,1.4
Labangan,Cogonan,children 0-5 year old who died,3,1.7,3,3,0,1,1.9,0
Labangan,Cogonan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Cogonan,malnourished children 0-5 year old,33,19,41,22,19,14,14.5,13.6
Labangan,Dalapang,children 0-5 year old who died,0,0,0,0,0,0,0,0
Labangan,Dalapang,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Dalapang,malnourished children 0-5 year old,15,8.6,21,11,10,7.2,7.1,7.4
Labangan,Dipaya,children 0-5 year old who died,1,1.4,1,0,1,1,0,2.1
Labangan,Dipaya,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Dipaya,malnourished children 0-5 year old,9,13,18,8,10,18.8,16,21.7
Labangan,Langapod,children 0-5 year old who died,1,0.7,1,0,1,0.4,0,0.7
Labangan,Langapod,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Langapod,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Labangan,Lantian,children 0-5 year old who died,1,0.7,1,1,0,0.5,0.9,0
Labangan,Lantian,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Lantian,malnourished children 0-5 year old,9,5.9,12,6,6,5.7,5.4,6
Labangan,Lower Campo Islam Poblacion,children 0-5 year old who died,1,0.9,1,1,0,0.6,1.2,0
Labangan,Lower Campo Islam Poblacion,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Lower Campo Islam Poblacion,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Labangan,Lower Pulacan,children 0-5 year old who died,6,5.6,7,3,4,4.5,3.4,6
Labangan,Lower Pulacan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Lower Pulacan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Labangan,New Labangan,children 0-5 year old who died,7,3.8,11,4,7,3.7,2.7,4.6
Labangan,New Labangan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,New Labangan,malnourished children 0-5 year old,3,1.6,4,1,3,1.4,0.7,2.1
Labangan,Noboran,children 0-5 year old who died,4,3.3,4,3,1,2.2,2.9,1.2
Labangan,Noboran,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Labangan,Noboran,malnourished children 0-5 year old,7,5.9,10,4,6,5.5,4,7.4
Lakewood,Baking,children 0-5 year old who died,0,0,0,0,0,0,0,0
Lakewood,Baking,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Lakewood,Baking,malnourished children 0-5 year old,1,0.8,1,0,1,0.5,0,1
Lakewood,Bagong Kahayag,children 0-5 year old who died,1,0.7,1,1,0,0.4,0.8,0
