city_or_municipality,barangay,household,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Dumalinao,Bibilik,households who are squatters,9,3.9,38,22,16,3.6,4.2,3
Dumalinao,Calingayan,households living in makeshift housing,0,0,0,0,0,0,0,0
Dumalinao,Calingayan,households who are squatters,0,0,0,0,0,0,0,0
Dumalinao,Camalig,households living in makeshift housing,3,2.7,15,11,4,2.6,3.9,1.4
Dumalinao,Camalig,households who are squatters,5,4.5,36,14,22,6.3,4.9,7.7
Dumalinao,Camanga,households living in makeshift housing,41,15,200,99,100,15.6,15.7,15.2
Dumalinao,Camanga,households who are squatters,3,1.1,15,6,8,1.2,1,1.2
Dumalinao,Cuatro-cuatro,households living in makeshift housing,11,12.2,61,32,29,13.7,13.9,13.5
Dumalinao,Cuatro-cuatro,households who are squatters,6,6.7,22,16,6,4.9,7,2.8
Dumalinao,Locuban,households living in makeshift housing,1,0.5,3,1,1,0.4,0.2,0.3
Dumalinao,Locuban,households who are squatters,7,3.7,24,10,13,2.8,2.2,3.3
Dumalinao,Malasik,households living in makeshift housing,0,0,0,0,0,0,0,0
Dumalinao,Malasik,households who are squatters,11,8.9,46,20,26,9.1,7.2,11.3
Dumalinao,Mama (San Juan),households living in makeshift housing,1,0.7,2,1,1,0.3,0.3,0.3
Dumalinao,Mama (San Juan),households who are squatters,1,0.7,5,3,2,0.7,0.8,0.6
Dumalinao,Matab-ang,households living in makeshift housing,1,1,2,2,0,0.5,0.8,0
Dumalinao,Matab-ang,households who are squatters,0,0,0,0,0,0,0,0
Josefina,Bogo Calabat,households living in makeshift housing,9,5.3,52,28,24,6.2,6.4,6
Josefina,Bogo Calabat,households who are squatters,4,2.4,17,13,4,2,3,1
Josefina,Dawa (Diwa),households living in makeshift housing,25,15.5,115,62,53,15,15.6,14.3
Josefina,Dawa (Diwa),households who are squatters,9,5.6,45,21,24,5.9,5.3,6.5
Josefina,Ebarle,households living in makeshift housing,0,0,0,0,0,0,0,0
Josefina,Ebarle,households who are squatters,4,6.2,14,9,5,4.3,5.2,3.4
Josefina,Upper Bagong Tudela Poblacion,households living in makeshift housing,62,21.2,278,154,124,19,21.1,17
Josefina,Upper Bagong Tudela Poblacion,households who are squatters,3,1,10,6,4,0.7,0.8,0.5
Josefina,Leonardo,households living in makeshift housing,5,4.5,18,11,7,3.4,3.9,2.8
Josefina,Leonardo,households who are squatters,3,2.7,12,6,6,2.3,2.2,2.4
Josefina,Litapan,households living in makeshift housing,0,0,0,0,0,0,0,0
Josefina,Litapan,households who are squatters,7,8.1,37,22,15,9.4,10.3,8.3
Josefina,Lower Bagong Tudela,households living in makeshift housing,0,0,0,0,0,0,0,0
Josefina,Lower Bagong Tudela,households who are squatters,0,0,0,0,0,0,0,0
Josefina,Mansanas,households living in makeshift housing,0,0,0,0,0,0,0,0
Josefina,Mansanas,households who are squatters,2,1.5,11,5,6,1.7,1.4,2
Josefina,Moradji,households living in makeshift housing,15,19.7,64,29,35,17.9,16.1,19.9
Josefina,Moradji,households who are squatters,6,7.9,30,11,18,8.4,6.1,10.2
Josefina,Nemeno,households living in makeshift housing,1,1.7,8,3,5,2.7,2.5,2.9
Josefina,Nemeno,households who are squatters,1,1.7,5,2,3,1.7,1.7,1.8
Josefina,Nopulan,households living in makeshift housing,2,1.3,6,2,4,0.8,0.5,1.2
Josefina,Nopulan,households who are squatters,4,2.6,14,7,7,1.9,1.8,2
Josefina,Sebukang,households living in makeshift housing,2,3.5,15,6,9,4.9,3.9,6
Josefina,Sebukang,households who are squatters,1,1.8,4,2,2,1.3,1.3,1.3
Josefina,Tagaytay Hill,households living in makeshift housing,3,5.8,10,5,5,4.1,3.9,4.5
Josefina,Tagaytay Hill,households who are squatters,2,3.8,9,4,5,3.7,3.1,4.5
Josefina,Gumahan Poblacion,households living in makeshift housing,20,6.9,94,47,47,6.8,7,6.7
Josefina,Gumahan Poblacion,households who are squatters,2,0.7,10,5,5,0.7,0.7,0.7
Kumalarang,Bogayo,households living in makeshift housing,2,0.9,8,4,4,0.7,0.7,0.7
Kumalarang,Bogayo,households who are squatters,17,7.8,72,37,35,6,6.1,5.9
Kumalarang,Bolisong,households living in makeshift housing,2,1.5,9,5,3,1.3,1.3,1
Kumalarang,Bolisong,households who are squatters,4,3.1,19,10,8,2.8,2.7,2.6
Kumalarang,Bualan,households living in makeshift housing,5,3.4,26,10,16,3.3,2.5,4.3
Kumalarang,Bualan,households who are squatters,143,97.3,761,402,359,97.4,98.5,96.2
Kumalarang,Boyugan East,households living in makeshift housing,1,0.6,5,1,3,0.6,0.2,0.7
Kumalarang,Boyugan East,households who are squatters,2,1.2,9,3,5,1,0.7,1.2
Kumalarang,Boyugan West,households living in makeshift housing,1,0.6,6,2,3,0.6,0.4,0.6
Kumalarang,Boyugan West,households who are squatters,3,1.7,14,7,6,1.4,1.4,1.2
Kumalarang,Diplo,households living in makeshift housing,59,11.4,21,12,4,0.9,1.1,0.4
Kumalarang,Diplo,households who are squatters,76,14.7,97,46,46,4.4,4.1,4.2
Kumalarang,Gawil,households living in makeshift housing,63,23.7,1,1,0,0.1,0.2,0
Kumalarang,Gawil,households who are squatters,65,24.4,14,7,7,1.3,1.3,1.4
Kumalarang,Gusom,households living in makeshift housing,73,72.3,461,238,222,72.4,71.5,73.3
Kumalarang,Gusom,households who are squatters,27,26.7,168,87,80,26.4,26.1,26.4
Kumalarang,Kitaan Dagat,households living in makeshift housing,13,8.9,69,37,31,9.3,9.7,8.6
Kumalarang,Kitaan Dagat,households who are squatters,2,1.4,7,4,2,0.9,1,0.6
Kumalarang,Limamawan,households living in makeshift housing,1,1.6,0,0,0,0,0,0
Kumalarang,Limamawan,households who are squatters,1,1.6,0,0,0,0,0,0
Kumalarang,Mahayahay,households living in makeshift housing,46,40.4,239,120,117,40.2,39.7,40.3
Kumalarang,Mahayahay,households who are squatters,49,43,258,124,132,43.4,41.1,45.5
Kumalarang,Pangi,households living in makeshift housing,2,1.4,13,7,6,1.8,1.9,1.7
Kumalarang,Pangi,households who are squatters,20,14.2,105,52,53,14.6,13.9,15.3
Kumalarang,Poblacion,households living in makeshift housing,187,19.2,891,451,438,17.4,17.6,17.1
Kumalarang,Poblacion,households who are squatters,13,1.3,49,22,25,1,0.9,1
Kumalarang,Picanan,households living in makeshift housing,7,2,18,7,11,1,0.7,1.3
Kumalarang,Picanan,households who are squatters,26,7.3,127,64,63,6.9,6.6,7.2
Labangan,Bagalupa,households living in makeshift housing,0,0,0,0,0,0,0,0
Labangan,Bagalupa,households who are squatters,42,23.6,204,118,86,24.2,26,22.1
Labangan,Balimbingan (West Luya),households living in makeshift housing,6,2.5,26,14,12,2.3,2.4,2.2
Labangan,Balimbingan (West Luya),households who are squatters,21,8.6,104,54,50,9.2,9.2,9.2
Labangan,Binayan,households living in makeshift housing,1,0.5,4,3,1,0.4,0.6,0.2
Labangan,Binayan,households who are squatters,7,3.3,32,15,17,3.3,3,3.6
Labangan,Bokong,households living in makeshift housing,7,2.2,36,22,14,2.3,2.7,1.9
Labangan,Bokong,households who are squatters,13,4.1,68,36,32,4.4,4.5,4.3
Labangan,Bulanit,households living in makeshift housing,3,1,14,5,9,0.8,0.6,1.1
Labangan,Bulanit,households who are squatters,34,11,165,88,77,10,10.5,9.4
Labangan,Cogonan,households living in makeshift housing,0,0,0,0,0,0,0,0
Labangan,Cogonan,households who are squatters,1,0.3,4,1,3,0.3,0.1,0.4
Labangan,Dalapang,households living in makeshift housing,1,0.3,3,2,1,0.2,0.3,0.1
Labangan,Dalapang,households who are squatters,13,4,74,40,34,4.8,5,4.5
Labangan,Dipaya,households living in makeshift housing,0,0,0,0,0,0,0,0
Labangan,Dipaya,households who are squatters,5,3.1,25,14,11,3.4,3.7,3.2
Labangan,Langapod,households living in makeshift housing,30,9.3,136,66,70,9.1,8.6,9.5
Labangan,Langapod,households who are squatters,10,3.1,57,30,27,3.8,3.9,3.7
Labangan,Lantian,households living in makeshift housing,5,1.5,26,14,12,1.6,1.7,1.5
Labangan,Lantian,households who are squatters,12,3.5,56,28,28,3.4,3.3,3.5
Labangan,Lower Campo Islam Poblacion,households living in makeshift housing,2,0.8,9,7,2,0.7,1.2,0.3
Labangan,Lower Campo Islam Poblacion,households who are squatters,18,7.5,104,53,51,8.6,8.9,8.3
Labangan,Lower Pulacan,households living in makeshift housing,3,1.1,16,7,9,1.2,1.1,1.4
Labangan,Lower Pulacan,households who are squatters,20,7.4,94,51,43,7.1,7.7,6.6
Labangan,New Labangan,households living in makeshift housing,1,0.3,7,5,2,0.5,0.6,0.3
Labangan,New Labangan,households who are squatters,36,11.7,180,89,91,11.6,11.3,12
Labangan,Noboran,households living in makeshift housing,0,0,0,0,0,0,0,0
Labangan,Noboran,households who are squatters,18,7.3,94,54,40,7.6,8.1,6.9
Lakewood,Baking,households living in makeshift housing,1,0.4,0,0,0,0,0,0
Lakewood,Baking,households who are squatters,96,37.6,502,258,244,35.7,35.3,36.1
Lakewood,Bagong Kahayag,households living in makeshift housing,11,3.3,58,27,31,3.4,3.1,3.7
Lakewood,Bagong Kahayag,households who are squatters,13,3.9,65,28,37,3.8,3.2,4.5
Lakewood,Biswangan,households living in makeshift housing,5,2.3,26,15,11,2.3,2.6,2
Lakewood,Biswangan,households who are squatters,12,5.5,53,28,25,4.7,4.8,4.6
Lakewood,Bululawan,households living in makeshift housing,3,1.2,16,6,7,1.4,1.1,1.3
Lakewood,Bululawan,households who are squatters,4,1.6,25,11,11,2.2,2,2
Lakewood,Dagum,households living in makeshift housing,0,0,0,0,0,0,0,0
Lakewood,Dagum,households who are squatters,7,5.4,36,19,17,5.6,5.8,5.4
Lakewood,Gasa,households living in makeshift housing,7,7.1,24,10,14,5.1,4,6.2
Lakewood,Gasa,households who are squatters,10,10.1,54,25,29,11.4,10.1,12.9
Lakewood,Gatub,households living in makeshift housing,7,3.3,32,17,14,3.1,3.1,2.8
Lakewood,Gatub,households who are squatters,14,6.7,71,31,39,6.8,5.6,7.9
Lakewood,Poblacion (Lakewood),households living in makeshift housing,10,1.2,40,21,18,0.9,1,0.9
Lakewood,Poblacion (Lakewood),households who are squatters,21,2.5,106,52,53,2.5,2.4,2.5
Lakewood,Lukuan,households living in makeshift housing,30,41.1,160,78,81,44.9,44.8,44.8
Lakewood,Lukuan,households who are squatters,6,8.2,32,17,14,9,9.8,7.7
Lakewood,Matalang,households living in makeshift housing,0,0,0,0,0,0,0,0
Lakewood,Matalang,households who are squatters,0,0,0,0,0,0,0,0
Lakewood,Sapang Pinoles,households living in makeshift housing,2,1.7,11,7,4,1.8,2.3,1.4
Lakewood,Sapang Pinoles,households who are squatters,8,7,38,16,22,6.4,5.3,7.5
Lakewood,Sebuguey,households living in makeshift housing,0,0,0,0,0,0,0,0
Lakewood,Sebuguey,households who are squatters,11,13.4,61,34,27,13.8,13.7,13.9
Lakewood,Tiwales,households living in makeshift housing,0,0,0,0,0,0,0,0
Lakewood,Tiwales,households who are squatters,1,0.9,3,2,1,0.5,0.7,0.3
Lakewood,Tubod,households living in makeshift housing,35,6.1,164,81,83,5.8,5.5,6
Lakewood,Tubod,households who are squatters,61,10.6,353,190,163,12.4,13,11.8
